iter	Passed	Remaining
957	10903	478
958	10917	466
959	10929	455
960	10941	444
961	10951	432
962	10962	421
963	10974	409
964	10985	398
965	10997	387
966	11008	375
967	11019	364
968	11031	352
969	11043	341
970	11054	330
971	11065	318
972	11077	307
973	11089	296
974	11099	284
975	11111	273
976	11123	261
977	11134	250
978	11145	239
979	11157	227
980	11167	216
981	11179	204
982	11190	193
983	11200	182
984	11211	170
985	11223	159
986	11234	147
987	11245	136
988	11258	125
989	11268	113
990	11279	102
991	11290	91
992	11300	79
993	11311	68
994	11322	56
995	11332	45
996	11344	34
997	11356	22
998	11367	11
999	11379	0
